Sec,Ah,V,A,S,D,Deg,RPM,HW,Nm,ThI,ThO,Acc,Lim
48.38,0.0010,52.19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
48.58,0.0010,52.19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
48.79,0.0010,52.19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
49.0,0.0010,52.19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
49.21,0.0010,52.19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
49.41,0.0010,52.19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
49.63,0.0010,52.19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
49.84,0.0010,52.19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
50.06,0.0010,52.19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
50.28,0.0010,52.19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
50.48,0.0010,52.19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
